,0
0,800000043426
1,800000046808
2,800000059613
3,800000048525
4,800000058010
5,800000046774
6,800000058082
7,800000046721
8,800000046828
9,800000046754
10,800000058054
11,800000034179
12,800000058020
13,800000048513
14,800000048514
15,800000048515
16,800000048516
17,800000048495
18,800000048517
19,800000048496
20,800000048497
21,800000048518
22,800000048519
23,800000048522
24,800000048511
25,800000062351
26,800000048510
27,800000059102
28,800000058093
29,800000046773
30,800000058094
31,800000059103
32,800000075018
33,800000046858
34,800000046734
35,800000056086
36,800000048359
37,800000065451
38,800000046771
39,800000065453
40,800000046731
41,800000083441
42,800000048380
43,800000069138
44,800000048387
45,800000056094
46,800000046820
47,800000065454
48,800000058023
49,800000059107
50,800000058014
51,800000062347
52,800000075017
53,800000057167
54,800000046728
55,800000046744
56,800000058029
57,800000065456
58,800000046790
59,800000046779
60,800000046733
61,800000057134
62,800000046769
63,800000069139
64,800000046729
65,800000057165
66,800000046782
67,800000069140
68,800000048381
69,800000046748
70,800000059112
71,800000048398
72,800000048371
73,800000046830
74,800000046770
75,800000046814
76,800000046811
77,800000046737
78,800000059086
79,800000059081
80,800000069136
81,800000057132
82,800000065452
83,800000046725
84,800000083451
85,800000046817
86,800000046815
87,800000056095
88,800000048382
89,800000048379
90,800000089611
91,800000069137
92,800000046747
93,800000057133
94,800000046732
95,800000062349
96,800000048360
97,800000057112
98,800000048362
99,800000058064
100,800000075013
101,800000046783
102,800000048411
103,800000048414
104,800000048403
105,800000048388
106,800000048389
107,800000048399
108,800000048400
109,800000048383
110,800000048386
111,800000048372
112,800000048374
113,800000048421
114,800000048375
115,800000048378
116,800000048358
117,800000048412
118,800000048401
119,800000048402
120,800000048390
121,800000048391
122,800000048392
123,800000075014
124,800000048393
125,800000048413
126,800000048396
127,800000048397
128,800000048376
129,800000065457
130,800000046810
131,800000046726
132,800000077808
133,800000046799
134,800000048361
135,800000083457
136,800000065455
137,800000077807
138,800000046741
139,800000046746
140,800000075015
141,800000046823
142,800000046798
143,800000059120
144,800000070863
145,800000083463
146,800000057158
147,800000077806
148,800000058095
149,800000059122
150,800000046816
151,800000046758
152,800000048384
153,800000083464
154,800000059105
155,800000046819
156,800000047456
157,800000046826
158,800000046743
159,800000069142
160,800000058015
161,800000065459
162,800000056078
163,800000056077
164,800000065460
165,800000047463
166,800000047455
167,800000047446
168,800000046757
169,800000058113
170,800000057131
171,800000059116
172,800000058050
173,800000047430
174,800000047432
175,800000047434
176,800000047454
177,800000047474
178,800000047471
179,800000047472
180,800000047461
181,800000047462
182,800000047445
183,800000047448
184,800000047450
185,800000047452
186,800000047457
187,800000069141
188,800000047464
189,800000047465
190,800000047466
191,800000047467
192,800000047477
193,800000047447
194,800000065462
195,800000047451
196,800000065458
197,800000058091
198,800000046784
199,800000085448
200,800000065461
201,800000046735
202,800000047227
203,800000046813
204,800000057992
205,800000057993
206,800000046821
207,800000062346
208,800000062352
209,800000065463
210,800000046715
211,800000058030
212,800000047253
213,800000047247
214,800000089612
215,800000047254
216,800000046781
217,800000062348
218,800000047229
219,800000047249
220,800000046822
221,800000047259
222,800000047260
223,800000047242
224,800000047224
225,800000047225
226,800000047226
227,800000047228
228,800000047248
229,800000047250
230,800000047246
231,800000047255
232,800000047256
233,800000062350
234,800000058069
235,800000058079
236,800000046730
237,800000060398
238,800000046718
239,800000046818
240,800000060372
241,800000077809
242,800000046764
243,800000058112
244,800000056079
245,800000047143
246,800000058044
247,800000058049
248,800000070864
249,800000047134
250,800000047154
251,800000047155
252,800000047156
253,800000047158
254,800000047159
255,800000047141
256,800000047142
257,800000047111
258,800000047125
259,800000047145
260,800000047146
261,800000047132
262,800000047133
263,800000070865
264,800000046704
265,800000059127
266,800000047128
267,800000059618
268,800000065464
269,800000077810
270,800000046751
271,800000057975
272,800000075019
273,800000059072
274,800000046759
275,800000059614
276,800000058060
277,800000077811
278,800000046812
279,800000083447
280,800000060415
281,800000059627
282,800000047040
283,800000065465
284,800000046756
285,800000046762
286,800000046760
287,800000083449
288,800000047016
289,800000047021
290,800000047022
291,800000059089
292,800000047017
293,800000058056
294,800000058062
295,800000058058
296,800000058053
297,800000058107
298,800000046990
299,800000047010
300,800000047012
301,800000047013
302,800000047023
303,800000047005
304,800000047007
305,800000047036
306,800000046992
307,800000046993
308,800000047038
309,800000059096
310,800000047033
311,800000047039
312,800000047034
313,800000047035
314,800000047009
315,800000046991
316,800000047015
317,800000060397
318,800000059619
319,800000059605
320,800000059070
321,800000045600
322,800000070866
323,800000062370
324,800000056066
325,800000057145
326,800000056061
327,800000077813
328,800000058106
329,800000045612
330,800000045613
331,800000077812
332,800000045662
333,800000059630
334,800000089613
335,800000046634
336,800000046646
337,800000060401
338,800000057113
339,800000075020
340,800000056064
341,800000056091
342,800000057144
343,800000062374
344,800000046648
345,800000046635
346,800000046638
347,800000046645
348,800000056090
349,800000046651
350,800000046652
351,800000046641
352,800000046655
353,800000046658
354,800000046631
355,800000046650
356,800000046642
357,800000057114
358,800000046654
359,800000046656
360,800000045603
361,800000059100
362,800000058074
363,800000045661
364,800000057149
365,800000062369
366,800000058061
367,800000060369
368,800000060370
369,800000075024
370,800000057150
371,800000070867
372,800000069143
373,800000060399
374,800000075023
375,800000083438
376,800000060371
377,800000077816
378,800000057986
379,800000046538
380,800000059108
381,800000058019
382,800000056063
383,800000045618
384,800000059629
385,800000062378
386,800000045602
387,800000046540
388,800000046520
389,800000046507
390,800000058057
391,800000045631
392,800000058047
393,800000065467
394,800000046528
395,800000056106
396,800000056107
397,800000058063
398,800000077814
399,800000046527
400,800000046532
401,800000046506
402,800000046530
403,800000046548
404,800000046531
405,800000046533
406,800000046534
407,800000046537
408,800000056105
409,800000046549
410,800000046550
411,800000089614
412,800000046552
413,800000046553
414,800000046554
415,800000046555
416,800000046525
417,800000046526
418,800000058068
419,800000057136
420,800000058087
421,800000075022
422,800000077815
423,800000065466
424,800000060379
425,800000060382
426,800000075021
427,800000058110
428,800000060383
429,800000059106
430,800000057984
431,800000059609
432,800000056068
433,800000056069
434,800000045617
435,800000045630
436,800000045609
437,800000057987
438,800000075026
439,800000058108
440,800000059616
441,800000058081
442,800000059076
443,800000065468
444,800000058016
445,800000065469
446,800000057139
447,800000077821
448,800000046415
449,800000046393
450,800000046394
451,800000046396
452,800000046399
453,800000046384
454,800000046364
455,800000056070
456,800000046402
457,800000046432
458,800000059084
459,800000059113
460,800000077819
461,800000058048
462,800000059091
463,800000058051
464,800000075025
465,800000090307
466,800000077817
467,800000077820
468,800000058055
469,800000046412
470,800000046431
471,800000046413
472,800000046414
473,800000046400
474,800000046401
475,800000046387
476,800000046389
477,800000046390
478,800000046429
479,800000046391
480,800000046395
481,800000046398
482,800000046433
483,800000046416
484,800000046417
485,800000046418
486,800000046419
487,800000046403
488,800000046404
489,800000046405
490,800000046406
491,800000046407
492,800000046409
493,800000046392
494,800000046430
495,800000056059
496,800000065470
497,800000065471
498,800000090306
499,800000058088
500,800000058089
