,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate,Unnamed: 0_x,attendance,Unnamed: 0_y,Common Core Algebra2,percent_graduated,Common Core Algebra,Common Core English,Common Core Geometry,Global History and Geography,Biology,Earth Science,U.S. History and Government,Chemistry,Physics
0,PACE HIGH SCHOOL,0.0,24.0,12.0,47.0,140.0,19.0,57,90,0,55.8,79.3,73.6,94.9,24.6,73.0,63.9,47.4,94.4,53.6,11.1
1,MANHATTAN VILLAGE ACADEMY,0.0,12.0,19.0,38.0,131.0,8.0,49,98,16,100.0,96.6,96.1,100.0,92.4,95.7,97.1,92.8,99.2,84.1,100.0
2,MANHATTAN BRIDGES HIGH SCHOOL,0.0,6.0,13.0,68.0,143.0,6.0,45,92,28,59.0,81.3,83.6,82.5,58.7,73.8,79.6,69.6,87.1,95.7,44.4
3,ART AND DESIGN HIGH SCHOOL,2.0,14.0,13.0,63.0,438.0,14.0,11,89,44,53.7,81.0,83.3,93.0,61.1,75.5,83.5,54.6,87.4,51.9,72.4
4,CENTRAL PARK EAST HIGH SCHOOL,0.0,16.0,10.0,61.0,129.0,17.0,96,94,56,80.4,97.3,86.7,97.6,67.4,89.3,93.1,80.8,96.8,69.6,65.1
5,FREDERICK DOUGLASS ACADEMY,2.0,12.0,4.0,48.0,360.0,8.0,103,88,60,64.0,75.8,67.5,89.3,62.6,58.4,77.1,27.9,81.5,91.5,69.2
6,WESTCHESTER SQUARE ACADEMY,6.0,28.0,22.0,17.0,184.0,26.0,154,86,72,69.1,71.3,58.4,67.9,50.0,54.4,56.4,25.8,80.4,46.7,25.0
7,BELMONT PREPARATORY HIGH SCHOOL,3.0,31.0,10.0,45.0,137.0,28.0,180,88,88,41.1,87.8,66.1,79.6,30.2,80.4,70.5,67.5,94.4,30.4,29.2
8,FORDHAM HIGH SCHOOL FOR THE ARTS,11.0,33.0,48.0,7.0,114.0,28.0,193,92,92,40.3,92.1,61.0,75.5,60.2,33.3,56.6,25.0,66.8,19.8,25.6
9,DEWITT CLINTON HIGH SCHOOL,1.0,28.0,9.0,68.0,414.0,20.0,190,80,96,58.4,45.7,53.2,56.7,35.3,39.7,46.5,33.6,61.8,64.3,68.6
