,school_name,attendance
0,BARD HIGH SCHOOL EARLY COLLEGE,94
1,CASCADES HIGH SCHOOL,64
2,EAST SIDE COMMUNITY SCHOOL,95
3,FORSYTHE SATELLITE ACADEMY,48
4,LOWER EAST SIDE PREP HIGH SCHOOL,77
5,MARTA VALLE HIGH SCHOOL,79
6,"NEW EXPLORATIONS SCI, TECH & MATH ",96
7,ORCHARD COLLEGIATE ACADEMY,79
8,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,90
9,ACADEMY FOR SOFTWARE ENGINEERING,87
10,AMERICAN SIGN LANG & ENG SECONDAR,88
11,ART AND DESIGN HIGH SCHOOL,89
12,BARUCH COLLEGE CAMPUS HIGH SCHOOL,97
13,BUSINESS OF SPORTS SCHOOL,83
14,CHELSEA CAREER AND TECH ED HS,87
15,ELEANOR ROOSEVELT HIGH SCHOOL,96
16,EMMA LAZARUS HIGH SCHOOL,91
17,ESSEX STREET ACADEMY,85
18,FACING HISTORY SCHOOL (THE),80
19,FOOD AND FINANCE HIGH SCHOOL,89
20,GRAMERCY ARTS HIGH SCHOOL,84
21,HARVEST COLLEGIATE HIGH SCHOOL,88
22,HARVEY MILK HIGH SCHOOL,71
23,HIGH SCH OF FASHION INDUSTRIES (THE),92
24,HIGH SCHOOL OF ECONOMICS & FINANCE,89
25,HIGH SCHOOL OF HOSPITALITY MGMNT,82
26,HIGH SCHOOL-LANGUAGE AND DIPLOMACY,83
27,HS 560 CITY-AS-SCHOOL,46
28,HS FOR ENVIRONMENTAL STUDIES ,85
29,HS-DUAL LANGUAGE & ASIAN STUDIES,98
30,HS-HEALTH PROFESSIONS & HUMAN SVCS,91
31,HUDSON HS OF LEARNING TECHNOLOGIES,80
32,HUMANITIES PREP ACADEMY,84
33,INDEPENDENCE HIGH SCHOOL,59
34,INST FOR COLLABORATIVE EDUCATION,94
35,INTERNATIONAL HS AT UNION SQUARE,83
36,JACQUELINE KENNEDY-ONASSIS HIGH SCH ,81
37,JAMES BALDWIN SCHOOL (THE),66
38,JHS 104 SIMON BARUCH ,96
39,LANDMARK HIGH SCHOOL,78
40,LEADERSHIP & PUBLIC SERVICE HIGH SCH,79
41,LIBERTY HIGH SCH ACAD-NEWCOMERS,88
42,LIFE SCIENCES SECONDARY SCHOOL,80
43,LOWER MANHATTAN ARTS ACADEMY,88
44,MANHATTAN ACAD-ARTS AND LANGUAGE,86
45,MANHATTAN BRIDGES HIGH SCHOOL,92
46,MANHATTAN BUSINESS ACADEMY,85
47,MANHATTAN COMP NIGHT AND DAY HS,71
48,MANHATTAN INTERNATIONAL HIGH SCHOOL,89
49,MANHATTAN VILLAGE ACADEMY,98
50,MILLENNIUM HIGH SCHOOL,96
51,MURRAY HILL ACADEMY,79
52,MURRY BERGTRAUM HS FOR BUS CAR,79
53,NEW DESIGN HIGH SCHOOL,83
54,NYC ISCHOOL,93
55,NYC LAB HS-COLLABORATIVE STUDIES,95
56,NYC MUSEUM SCHOOL,94
57,PACE HIGH SCHOOL,90
58,PROFESSIONAL PERF ARTS HIGH SCHOOL,94
59,PS 158 BAYARD TAYLOR,94
60,PS 183 ROBERT L STEVENSON,96
61,QUEST TO LEARN,92
62,REPERTORY COMPANY HS FOR THEATRE ART,93
63,RICHARD R GREEN HS OF TEACHING,84
64,SATELLITE ACADEMY HIGH SCHOOL,60
65,SCHOOL OF THE FUTURE HIGH SCHOOL,95
66,STEPHEN T MATHER BLDG ARTS-CRAFTSMAN,86
67,STUYVESANT HIGH SCHOOL,97
68,TALENT UNLIMITED HIGH SCHOOL,92
69,UNION SQUARE ACAD FOR HEALTH SCIENCE,87
70,UNITY CENTER FOR URBAN TECHNOLOGIES,78
71,URBAN ACAD LABORATORY HIGH SCHOOL,80
72,URBAN ACADEMY-GOVERNMENT & LAW,85
73,URBAN ASSEMBLY GATEWAY SCHOOL-TECH,87
74,URBAN ASSEMBLY MAKER ACADEMY,87
75,URBAN ASSEMBLY NY HARBOR SCHOOL,88
76,URBAN ASSEMBLY-EMERGENCY MANAGEMENT,82
77,URBAN ASSMBLY SCH-DESIGN & CONST,81
78,URBAN SCH-BUSINESS-YNG WOMEN,78
79,VANGUARD HIGH SCHOOL,87
80,BEACON HIGH SCHOOL,96
81,EDWARD A REYNOLDS WEST SIDE HS,52
82,FIORELLO H LAGUARDIA HIGH SCHOOL,95
83,FRANK MCCOURT HIGH SCHOOL,90
84,FREDERICK DOUGLASS ACADEMY II,79
85,GLOBAL LEARNING COLLABORATIVE (THE),83
86,HIGH SCHOOL OF ARTS AND TECHNOLOGY,78
87,HS FOR LAW ADVCY & COMM JUST,81
88,INNOVATION DIPLOMA PLUS,58
89,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,98
90,MAXINE GREENE HS-IMAGINATIVE INQUIRY,79
91,PS 87 WILLIAM SHERMAN,96
92,SPECIAL MUSIC SCHOOL,96
93,URBAN ASSEMBLY FOR GREEN CAREERS,82
94,URBAN ASSMBLY SCH-MEDIA STUDIES,82
95,WADLEIGH PERF AND VISUAL ARTS,78
96,CENTRAL PARK EAST HIGH SCHOOL,94
97,ESPERANZA PREPARATORY ACADEMY,89
98,HERITAGE SCHOOL (THE),82
99,MANHATTAN CENTER-SCIENCE & MATH,93
100,PARK EAST HIGH SCHOOL,93
101,YOUNG WOMEN'S LEADERSHIP SCHOOL,94
102,COLUMBIA SECONDARY SCHOOL,96
103,FREDERICK DOUGLASS ACADEMY,88
104,HARLEM RENAISSANCE HIGH SCHOOL,52
105,HS MATH SCI & ENGNRNG AT CCNY,96
106,MOTT HALL HIGH SCHOOL,86
107,THURGOOD MARSHALL ACAD FOR LEARNING,93
108,URBAN ASSEMBLY FOR THE PERFORM ARTS,78
109,URBAN ASSEMBLY-GLOBAL COMMERCE,88
110,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,85
111,CITY COLLEGE ACADEMY OF THE ARTS,93
112,COLLEGE ACADEMY (THE),84
113,COMMUNITY HEALTH ACAD OF THE HEIGHTS,86
114,GREGORIO LUPERON HS-SCI & MATH,91
115,HIGH SCH-EXCELLENCE AND INNOVATION,67
116,HIGH SCHOOL-HEALTH CAREERS & SCIES,87
117,HIGH SCHOOL-LAW & PUBLIC SERVICE ,86
118,HIGH SCHOOL-MEDIA & COMMUNICATIONS ,87
119,WASHINGTON HGTS EXPEDITIONARY LEARN,88
120,ALFRED E SMITH CAREER-TECH HIGH SCH,82
121,BRONX DESIGN-CONSTRUCTION ACADEMY,79
122,BRONX HAVEN HIGH SCHOOL,57
123,BRONX LEADERSHIP ACAD II HIGH SCHOOL,82
124,CAREERS IN SPORTS HS,76
125,COMMUNITY SCHOOL-SOCIAL JUSTICE,79
126,HEALTH OPPORTUNITIES HIGH SCHOOL,78
127,HERO HIGH SCHOOL,86
128,HOSTOS-LINCOLN ACADEMY OF SCIENCE,92
129,INTERNATIONAL COMMUNITY HIGH SCHOOL,84
130,JILL CHAIFETZ TRANSFER HIGH SCHOOL,52
131,LAB SCHOOL OF FIN & TECH: X223,93
132,MOTT HAVEN COMMUNITY HIGH SCHOOL,66
133,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,77
134,SOUTH BRONX PREPARATORY,92
135,UNIVERSITY HEIGHTS SECONDARY SCHOOL,93
136,URBAN ASSEMBLY BRONX OF LETTERS,86
137,ANTONIA PANTOJA PREP ACADEMY,85
138,"ARCHIMEDES ACAD-MATH, SCI, TECH",85
