,school_name,demographic,cohort,total_cohort,total_grads,percent_graduated
0,ORCHARD COLLEGIATE ACADEMY,All Students,4 year August,36.0,25.0,69.4
1,ORCHARD COLLEGIATE ACADEMY,All Students,4 year June,36.0,24.0,66.7
2,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,All Students,4 year August,78.0,70.0,89.7
3,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,All Students,4 year June,78.0,70.0,89.7
4,EAST SIDE COMMUNITY SCHOOL,All Students,4 year August,89.0,81.0,91.0
5,EAST SIDE COMMUNITY SCHOOL,All Students,4 year June,89.0,80.0,89.9
6,FORSYTH SATELLITE ACADEMY,All Students,4 year August,94.0,15.0,16.0
7,FORSYTH SATELLITE ACADEMY,All Students,4 year June,94.0,14.0,14.9
8,MARTA VALLE HIGH SCHOOL,All Students,4 year August,59.0,43.0,72.9
9,MARTA VALLE HIGH SCHOOL,All Students,4 year June,59.0,39.0,66.1
10,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,All Students,4 year August,232.0,85.0,36.6
11,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,All Students,4 year June,232.0,83.0,35.8
12,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,All Students,4 year August,183.0,178.0,97.3
13,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,All Students,4 year June,183.0,170.0,92.9
14,CASCADES HIGH SCHOOL,All Students,4 year August,110.0,30.0,27.3
15,CASCADES HIGH SCHOOL,All Students,4 year June,110.0,26.0,23.6
16,BARD HIGH SCHOOL EARLY COLLEGE,All Students,4 year August,113.0,112.0,99.1
17,BARD HIGH SCHOOL EARLY COLLEGE,All Students,4 year June,113.0,107.0,94.7
18,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,All Students,4 year August,35.0,32.0,91.4
19,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,All Students,4 year June,35.0,32.0,91.4
20,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,All Students,4 year August,91.0,68.0,74.7
21,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,All Students,4 year June,91.0,61.0,67.0
22,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIG,All Students,4 year August,75.0,62.0,82.7
23,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIG,All Students,4 year June,75.0,62.0,82.7
24,URBAN ASSEMBLY MAKER ACADEMY,All Students,4 year August,1.0,,
25,URBAN ASSEMBLY MAKER ACADEMY,All Students,4 year June,1.0,,
26,FOOD AND FINANCE HIGH SCHOOL,All Students,4 year August,86.0,79.0,91.9
27,FOOD AND FINANCE HIGH SCHOOL,All Students,4 year June,86.0,76.0,88.4
28,ESSEX STREET ACADEMY,All Students,4 year August,80.0,66.0,82.5
29,ESSEX STREET ACADEMY,All Students,4 year June,80.0,66.0,82.5
30,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,All Students,4 year August,85.0,60.0,70.6
31,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,All Students,4 year June,85.0,50.0,58.8
32,PACE HIGH SCHOOL,All Students,4 year August,92.0,79.0,85.9
33,PEACE AND DIVERSITY ACADEMY,All Students,4 year June,8.0,0.0,0.0
34,PACE HIGH SCHOOL,All Students,4 year June,92.0,73.0,79.3
35,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,All Students,4 year August,92.0,54.0,58.7
36,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,All Students,4 year June,92.0,53.0,57.6
37,FACING HISTORY SCHOOL THE,All Students,4 year August,83.0,63.0,75.9
38,FACING HISTORY SCHOOL THE,All Students,4 year June,83.0,55.0,66.3
39,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,All Students,4 year August,67.0,56.0,83.6
40,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,All Students,4 year June,67.0,52.0,77.6
41,LOWER MANHATTAN ARTS ACADEMY,All Students,4 year August,77.0,62.0,80.5
42,LOWER MANHATTAN ARTS ACADEMY,All Students,4 year June,77.0,59.0,76.6
43,JAMES BALDWIN SCHOOL THE: A SCHOOL FOR EXPEDITIONA,All Students,4 year August,114.0,42.0,36.8
44,JAMES BALDWIN SCHOOL THE: A SCHOOL FOR EXPEDITIONA,All Students,4 year June,114.0,42.0,36.8
45,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,All Students,4 year August,52.0,39.0,75.0
46,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,All Students,4 year June,52.0,37.0,71.2
47,GRAMERCY ARTS HIGH SCHOOL,All Students,4 year August,128.0,104.0,81.3
48,GRAMERCY ARTS HIGH SCHOOL,All Students,4 year June,128.0,99.0,77.3
49,NYC ISCHOOL,All Students,4 year August,105.0,103.0,98.1
50,NYC ISCHOOL,All Students,4 year June,105.0,103.0,98.1
51,MANHATTAN BUSINESS ACADEMY,All Students,4 year August,104.0,89.0,85.6
52,MANHATTAN BUSINESS ACADEMY,All Students,4 year June,104.0,88.0,84.6
53,BUSINESS OF SPORTS SCHOOL,All Students,4 year August,96.0,80.0,83.3
54,BUSINESS OF SPORTS SCHOOL,All Students,4 year June,96.0,75.0,78.1
55,EMMA LAZARUS HIGH SCHOOL,All Students,4 year August,97.0,46.0,47.4
56,EMMA LAZARUS HIGH SCHOOL,All Students,4 year June,97.0,44.0,45.4
57,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,All Students,4 year August,100.0,81.0,81.0
58,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,All Students,4 year June,100.0,80.0,80.0
59,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,All Students,4 year August,296.0,239.0,80.7
60,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,All Students,4 year June,296.0,227.0,76.7
61,INSTITUTE FOR COLLABORATIVE EDUCATION,All Students,4 year August,60.0,52.0,86.7
62,INSTITUTE FOR COLLABORATIVE EDUCATION,All Students,4 year June,60.0,49.0,81.7
63,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,All Students,4 year August,97.0,90.0,92.8
64,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,All Students,4 year June,97.0,89.0,91.8
65,BARUCH COLLEGE CAMPUS HIGH SCHOOL,All Students,4 year August,111.0,111.0,100.0
66,BARUCH COLLEGE CAMPUS HIGH SCHOOL,All Students,4 year June,111.0,111.0,100.0
67,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,All Students,4 year August,153.0,149.0,97.4
68,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,All Students,4 year June,153.0,148.0,96.7
69,SCHOOL OF THE FUTURE HIGH SCHOOL,All Students,4 year August,100.0,99.0,99.0
70,SCHOOL OF THE FUTURE HIGH SCHOOL,All Students,4 year June,100.0,98.0,98.0
71,NYC MUSEUM SCHOOL,All Students,4 year August,117.0,117.0,100.0
72,NYC MUSEUM SCHOOL,All Students,4 year June,117.0,117.0,100.0
73,ELEANOR ROOSEVELT HIGH SCHOOL,All Students,4 year August,147.0,146.0,99.3
74,ELEANOR ROOSEVELT HIGH SCHOOL,All Students,4 year June,147.0,145.0,98.6
75,MILLENNIUM HIGH SCHOOL,All Students,4 year August,142.0,141.0,99.3
76,MILLENNIUM HIGH SCHOOL,All Students,4 year June,142.0,141.0,99.3
77,LANDMARK HIGH SCHOOL,All Students,4 year August,75.0,49.0,65.3
78,LANDMARK HIGH SCHOOL,All Students,4 year June,75.0,45.0,60.0
79,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,All Students,4 year August,373.0,351.0,94.1
80,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,All Students,4 year June,373.0,328.0,87.9
81,QUEST TO LEARN,All Students,4 year August,78.0,66.0,84.6
82,QUEST TO LEARN,All Students,4 year June,78.0,64.0,82.1
83,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,All Students,4 year August,153.0,110.0,71.9
84,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,All Students,4 year June,153.0,101.0,66.0
85,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,All Students,4 year August,66.0,34.0,51.5
86,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,All Students,4 year June,66.0,33.0,50.0
87,MURRAY HILL ACADEMY,All Students,4 year August,64.0,51.0,79.7
88,MURRAY HILL ACADEMY,All Students,4 year June,64.0,51.0,79.7
89,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,All Students,4 year August,121.0,79.0,65.3
90,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,All Students,4 year June,121.0,79.0,65.3
91,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,All Students,4 year August,83.0,54.0,65.1
92,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,All Students,4 year June,83.0,49.0,59.0
93,MANHATTAN VILLAGE ACADEMY,All Students,4 year August,89.0,88.0,98.9
94,MANHATTAN VILLAGE ACADEMY,All Students,4 year June,89.0,86.0,96.6
95,VANGUARD HIGH SCHOOL,All Students,4 year August,105.0,78.0,74.3
96,VANGUARD HIGH SCHOOL,All Students,4 year June,105.0,76.0,72.4
97,MANHATTAN INTERNATIONAL HIGH SCHOOL,All Students,4 year August,72.0,53.0,73.6
98,MANHATTAN INTERNATIONAL HIGH SCHOOL,All Students,4 year June,72.0,52.0,72.2
99,STUYVESANT HIGH SCHOOL,All Students,4 year August,835.0,823.0,98.6
100,STUYVESANT HIGH SCHOOL,All Students,4 year June,835.0,804.0,96.3
101,HIGH SCHOOL OF ECONOMICS AND FINANCE,All Students,4 year August,166.0,150.0,90.4
102,HIGH SCHOOL OF ECONOMICS AND FINANCE,All Students,4 year June,166.0,143.0,86.1
103,UNITY CENTER FOR URBAN TECHNOLOGIES,All Students,4 year August,73.0,56.0,76.7
104,UNITY CENTER FOR URBAN TECHNOLOGIES,All Students,4 year June,73.0,56.0,76.7
105,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,All Students,4 year August,110.0,97.0,88.2
106,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,All Students,4 year June,110.0,91.0,82.7
107,TALENT UNLIMITED HIGH SCHOOL,All Students,4 year August,126.0,122.0,96.8
108,TALENT UNLIMITED HIGH SCHOOL,All Students,4 year June,126.0,122.0,96.8
109,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,All Students,4 year August,147.0,81.0,55.1
110,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,All Students,4 year June,147.0,79.0,53.7
111,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,All Students,4 year August,154.0,99.0,64.3
112,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,All Students,4 year June,154.0,90.0,58.4
113,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,All Students,4 year August,54.0,51.0,94.4
114,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,All Students,4 year June,54.0,51.0,94.4
115,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,All Students,4 year August,91.0,79.0,86.8
116,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,All Students,4 year June,91.0,70.0,76.9
117,HARVEST COLLEGIATE HIGH SCHOOL,All Students,4 year August,96.0,84.0,87.5
118,HARVEST COLLEGIATE HIGH SCHOOL,All Students,4 year June,96.0,83.0,86.5
119,MANHATTAN BRIDGES HIGH SCHOOL,All Students,4 year August,123.0,104.0,84.6
120,MANHATTAN BRIDGES HIGH SCHOOL,All Students,4 year June,123.0,100.0,81.3
121,NEW DESIGN HIGH SCHOOL,All Students,4 year August,71.0,66.0,93.0
122,NEW DESIGN HIGH SCHOOL,All Students,4 year June,71.0,65.0,91.5
123,INDEPENDENCE HIGH SCHOOL,All Students,4 year August,118.0,24.0,20.3
124,INDEPENDENCE HIGH SCHOOL,All Students,4 year June,118.0,21.0,17.8
125,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,All Students,4 year August,97.0,97.0,100.0
126,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,All Students,4 year June,97.0,97.0,100.0
127,ACADEMY FOR SOFTWARE ENGINEERING,All Students,4 year August,108.0,92.0,85.2
128,ACADEMY FOR SOFTWARE ENGINEERING,All Students,4 year June,108.0,90.0,83.3
129,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,All Students,4 year August,95.0,31.0,32.6
130,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,All Students,4 year June,95.0,28.0,29.5
131,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,All Students,4 year August,84.0,66.0,78.6
132,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,All Students,4 year June,84.0,65.0,77.4
133,HIGH SCHOOL M560  CITY AS SCHOOL,All Students,4 year August,278.0,103.0,37.1
134,HIGH SCHOOL M560  CITY AS SCHOOL,All Students,4 year June,278.0,87.0,31.3
135,URBAN ACADEMY LABORATORY HIGH SCHOOL,All Students,4 year August,41.0,20.0,48.8
136,URBAN ACADEMY LABORATORY HIGH SCHOOL,All Students,4 year June,41.0,20.0,48.8
137,SATELLITE ACADEMY HIGH SCHOOL,All Students,4 year August,102.0,15.0,14.7
138,SATELLITE ACADEMY HIGH SCHOOL,All Students,4 year June,102.0,14.0,13.7
139,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,All Students,4 year August,245.0,34.0,13.9
140,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,All Students,4 year June,245.0,28.0,11.4
141,RICHARD R GREEN HIGH SCHOOL OF TEACHING,All Students,4 year August,116.0,79.0,68.1
142,RICHARD R GREEN HIGH SCHOOL OF TEACHING,All Students,4 year June,116.0,72.0,62.1
143,HARVEY MILK HIGH SCHOOL,All Students,4 year August,29.0,6.0,20.7
144,HARVEY MILK HIGH SCHOOL,All Students,4 year June,29.0,4.0,13.8
145,THE HIGH SCHOOL OF FASHION INDUSTRIES,All Students,4 year August,386.0,360.0,93.3
146,THE HIGH SCHOOL OF FASHION INDUSTRIES,All Students,4 year June,386.0,344.0,89.1
147,HUMANITIES PREPARATORY ACADEMY,All Students,4 year August,53.0,39.0,73.6
148,HUMANITIES PREPARATORY ACADEMY,All Students,4 year June,53.0,38.0,71.7
149,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,All Students,4 year August,99.0,74.0,74.7
150,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,All Students,4 year June,99.0,71.0,71.7
151,ART AND DESIGN HIGH SCHOOL,All Students,4 year August,326.0,277.0,85.0
152,ART AND DESIGN HIGH SCHOOL,All Students,4 year June,326.0,264.0,81.0
153,LIFE SCIENCES SECONDARY SCHOOL,All Students,4 year August,126.0,76.0,60.3
154,LIFE SCIENCES SECONDARY SCHOOL,All Students,4 year June,126.0,61.0,48.4
155,BEACON HIGH SCHOOL,All Students,4 year June,283.0,282.0,99.6
156,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,All Students,4 year August,106.0,72.0,67.9
157,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,All Students,4 year June,106.0,71.0,67.0
158,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES THE,All Students,4 year August,96.0,74.0,77.1
159,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES THE,All Students,4 year June,96.0,74.0,77.1
160,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,All Students,4 year August,87.0,72.0,82.8
161,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,All Students,4 year June,87.0,69.0,79.3
162,THE GLOBAL LEARNING COLLABORATIVE,All Students,4 year August,105.0,80.0,76.2
163,THE GLOBAL LEARNING COLLABORATIVE,All Students,4 year June,105.0,73.0,69.5
164,INNOVATION DIPLOMA PLUS,All Students,4 year August,87.0,11.0,12.6
165,INNOVATION DIPLOMA PLUS,All Students,4 year June,87.0,8.0,9.2
166,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,All Students,4 year August,80.0,61.0,76.3
167,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,All Students,4 year June,80.0,58.0,72.5
168,FRANK MCCOURT HIGH SCHOOL,All Students,4 year August,87.0,84.0,96.6
169,FRANK MCCOURT HIGH SCHOOL,All Students,4 year June,87.0,83.0,95.4
170,BEACON HIGH SCHOOL,All Students,4 year August,283.0,283.0,100.0
171,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC & ART AN,All Students,4 year August,643.0,629.0,97.8
172,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC & ART AN,All Students,4 year June,643.0,618.0,96.1
173,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTICE,All Students,4 year August,109.0,80.0,73.4
174,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTICE,All Students,4 year June,109.0,76.0,69.7
175,HIGH SCHOOL OF ARTS AND TECHNOLOGY,All Students,4 year August,131.0,98.0,74.8
176,HIGH SCHOOL OF ARTS AND TECHNOLOGY,All Students,4 year June,131.0,92.0,70.2
177,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,All Students,4 year August,185.0,36.0,19.5
178,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,All Students,4 year June,185.0,33.0,17.8
179,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,All Students,4 year August,122.0,122.0,100.0
180,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,All Students,4 year June,122.0,122.0,100.0
181,SPECIAL MUSIC SCHOOL,All Students,4 year August,51.0,50.0,98.0
182,SPECIAL MUSIC SCHOOL,All Students,4 year June,51.0,50.0,98.0
183,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,All Students,4 year August,76.0,56.0,73.7
184,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,All Students,4 year June,76.0,52.0,68.4
185,ESPERANZA PREPARATORY ACADEMY,All Students,4 year August,80.0,58.0,72.5
186,ESPERANZA PREPARATORY ACADEMY,All Students,4 year June,80.0,58.0,72.5
187,COALITION SCHOOL FOR SOCIAL CHANGE,All Students,4 year August,56.0,39.0,69.6
188,COALITION SCHOOL FOR SOCIAL CHANGE,All Students,4 year June,56.0,38.0,67.9
189,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,All Students,4 year August,403.0,387.0,96.0
190,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,All Students,4 year June,403.0,382.0,94.8
191,PARK EAST HIGH SCHOOL,All Students,4 year August,112.0,108.0,96.4
192,PARK EAST HIGH SCHOOL,All Students,4 year June,112.0,107.0,95.5
193,CENTRAL PARK EAST HIGH SCHOOL,All Students,4 year August,112.0,109.0,97.3
194,CENTRAL PARK EAST HIGH SCHOOL,All Students,4 year June,112.0,109.0,97.3
195,YOUNG WOMEN'S LEADERSHIP SCHOOL,All Students,4 year August,82.0,82.0,100.0
196,YOUNG WOMEN'S LEADERSHIP SCHOOL,All Students,4 year June,82.0,82.0,100.0
197,HERITAGE SCHOOL THE,All Students,4 year August,66.0,48.0,72.7
198,HERITAGE SCHOOL THE,All Students,4 year June,66.0,42.0,63.6
199,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,All Students,4 year August,64.0,48.0,75.0
200,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,All Students,4 year June,64.0,43.0,67.2
201,HARLEM RENAISSANCE HIGH SCHOOL,All Students,4 year August,95.0,7.0,7.4
202,HARLEM RENAISSANCE HIGH SCHOOL,All Students,4 year June,95.0,7.0,7.4
203,MOTT HALL HIGH SCHOOL,All Students,4 year August,94.0,64.0,68.1
204,MOTT HALL HIGH SCHOOL,All Students,4 year June,94.0,60.0,63.8
205,COLUMBIA SECONDARY SCHOOL,All Students,4 year August,92.0,92.0,100.0
206,COLUMBIA SECONDARY SCHOOL,All Students,4 year June,92.0,89.0,96.7
207,ACADEMY FOR SOCIAL ACTION,All Students,4 year August,38.0,16.0,42.1
208,ACADEMY FOR SOCIAL ACTION,All Students,4 year June,38.0,13.0,34.2
209,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,All Students,4 year August,70.0,52.0,74.3
210,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,All Students,4 year June,70.0,50.0,71.4
211,FREDERICK DOUGLASS ACADEMY,All Students,4 year August,273.0,225.0,82.4
212,FREDERICK DOUGLASS ACADEMY,All Students,4 year June,273.0,207.0,75.8
213,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,All Students,4 year August,101.0,83.0,82.2
214,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,All Students,4 year June,101.0,82.0,81.2
215,HIGH SCHOOL FOR MATHEMATICS SCIENCE AND ENGINEERIN,All Students,4 year August,106.0,105.0,99.1
216,HIGH SCHOOL FOR MATHEMATICS SCIENCE AND ENGINEERIN,All Students,4 year June,106.0,104.0,98.1
217,CITY COLLEGE ACADEMY OF THE ARTS,All Students,4 year August,79.0,77.0,97.5
218,CITY COLLEGE ACADEMY OF THE ARTS,All Students,4 year June,79.0,75.0,94.9
219,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,All Students,4 year August,81.0,64.0,79.0
220,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,All Students,4 year June,81.0,63.0,77.8
221,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,All Students,4 year August,97.0,75.0,77.3
222,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,All Students,4 year June,97.0,70.0,72.2
223,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,All Students,4 year August,57.0,21.0,36.8
224,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,All Students,4 year June,57.0,17.0,29.8
225,THE COLLEGE ACADEMY,All Students,4 year August,101.0,55.0,54.5
226,THE COLLEGE ACADEMY,All Students,4 year June,101.0,51.0,50.5
227,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,All Students,4 year August,106.0,49.0,46.2
228,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,All Students,4 year June,106.0,49.0,46.2
229,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,All Students,4 year August,127.0,94.0,74.0
230,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,All Students,4 year June,127.0,90.0,70.9
231,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,All Students,4 year August,106.0,66.0,62.3
232,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,All Students,4 year June,106.0,61.0,57.5
233,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,All Students,4 year August,331.0,241.0,72.8
234,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,All Students,4 year June,331.0,233.0,70.4
235,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,All Students,4 year August,132.0,91.0,68.9
236,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,All Students,4 year June,132.0,79.0,59.8
237,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,All Students,4 year August,78.0,75.0,96.2
238,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,All Students,4 year June,78.0,72.0,92.3
239,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,All Students,4 year August,90.0,83.0,92.2
240,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,All Students,4 year June,90.0,73.0,81.1
241,HERO HIGH HEALTH EDUCATION AND RESEARCH OCCUPATION,All Students,4 year August,109.0,78.0,71.6
242,HERO HIGH HEALTH EDUCATION AND RESEARCH OCCUPATION,All Students,4 year June,109.0,67.0,61.5
243,INTERNATIONAL COMMUNITY HIGH SCHOOL,All Students,4 year August,108.0,68.0,63.0
244,INTERNATIONAL COMMUNITY HIGH SCHOOL,All Students,4 year June,108.0,66.0,61.1
245,JILL CHAIFETZ TRANSFER HIGH SCHOOL,All Students,4 year August,98.0,13.0,13.3
246,JILL CHAIFETZ TRANSFER HIGH SCHOOL,All Students,4 year June,98.0,12.0,12.2
247,BRONX HAVEN HS,All Students,4 year August,79.0,8.0,10.1
248,BRONX HAVEN HS,All Students,4 year June,79.0,3.0,3.8
