,index,school_name,total_cohort,total_grads,percent_graduated
0,19,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,35.0,32.0,91.4
1,234,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,331.0,233.0,70.4
2,707,ABRAHAM LINCOLN HIGH SCHOOL,484.0,325.0,67.1
3,902,ACADEMY FOR CAREERS IN TELEVISION AND FILM,121.0,119.0,98.3
4,599,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,63.0,39.0,61.9
5,657,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,72.0,58.0,80.6
6,941,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,96.0,65.0,67.7
7,633,ACADEMY FOR HEALTH CAREERS,81.0,64.0,79.0
8,344,ACADEMY FOR LANGUAGE AND TECHNOLOGY,76.0,73.0,96.1
9,428,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,96.0,57.0,59.4
10,208,ACADEMY FOR SOCIAL ACTION,38.0,13.0,34.2
11,128,ACADEMY FOR SOFTWARE ENGINEERING,108.0,90.0,83.3
12,663,ACADEMY FOR YOUNG WRITERS,118.0,98.0,83.1
13,914,ACADEMY OF AMERICAN STUDIES,254.0,234.0,92.1
14,753,ACADEMY OF FINANCE AND ENTERPRISE,140.0,130.0,92.9
15,601,ACADEMY OF HOSPITALITY AND TOURISM,53.0,27.0,50.9
16,679,ACADEMY OF INNOVATIVE TECHNOLOGY,88.0,63.0,71.6
17,827,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,91.0,66.0,72.5
18,507,ACORN COMMUNITY HIGH SCHOOL,71.0,54.0,76.1
19,272,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH,79.0,60.0,75.9
20,949,ALL CITY LEADERSHIP SECONDARY SCHOOL,39.0,38.0,97.4
21,296,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,55.0,34.0,61.8
22,294,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECHNOLOGY,95.0,54.0,56.8
23,152,ART AND DESIGN HIGH SCHOOL,326.0,264.0,81.0
24,647,ARTS & MEDIA PREPARATORY ACADEMY,59.0,34.0,57.6
25,473,ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX,83.0,12.0,14.5
26,745,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,109.0,22.0,20.2
27,436,ASTOR COLLEGIATE ACADEMY,126.0,95.0,75.4
28,837,AUGUST MARTIN HIGH SCHOOL,123.0,74.0,60.2
29,547,AUTOMOTIVE HIGH SCHOOL,42.0,31.0,73.8
30,779,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,647.0,610.0,94.3
31,916,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,87.0,87.0,100.0
32,17,BARD HIGH SCHOOL EARLY COLLEGE,113.0,107.0,94.7
33,761,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,143.0,142.0,99.3
34,66,BARUCH COLLEGE CAMPUS HIGH SCHOOL,111.0,111.0,100.0
35,813,BAYSIDE HIGH SCHOOL,835.0,801.0,95.9
36,155,BEACON HIGH SCHOOL,283.0,282.0,99.6
37,515,BEDFORD ACADEMY HIGH SCHOOL,83.0,81.0,97.6
38,513,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,54.0,6.0,11.1
39,396,BELMONT PREPARATORY HIGH SCHOOL,98.0,86.0,87.8
40,521,BENJAMIN BANNEKER ACADEMY,241.0,211.0,87.6
41,888,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORM,2.0,,
42,807,BENJAMIN N CARDOZO HIGH SCHOOL,865.0,762.0,88.1
43,585,BOYS AND GIRLS HIGH SCHOOL,122.0,75.0,61.5
44,374,BRONX ACADEMY FOR SOFTWARE ENGINEERING BASE,96.0,71.0,74.0
45,434,BRONX ACADEMY OF HEALTH CAREERS,104.0,78.0,75.0
46,454,BRONX AEROSPACE HIGH SCHOOL,88.0,57.0,64.8
47,310,BRONX ARENA HIGH SCHOOL,60.0,6.0,10.0
48,302,BRONX BRIDGES HIGH SCHOOL,73.0,34.0,46.6
49,477,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,86.0,34.0,39.5
50,328,BRONX CENTER FOR SCIENCE AND MATHEMATICS,112.0,99.0,88.4
51,384,BRONX COLLABORATIVE HIGH SCHOOL,105.0,24.0,22.9
52,318,BRONX COLLEGIATE ACADEMY,93.0,59.0,63.4
53,297,BRONX COMMUNITY HIGH SCHOOL,77.0,8.0,10.4
54,316,BRONX COMPASS HIGH SCHOOL,105.0,49.0,46.7
55,261,BRONX DESIGN AND CONSTRUCTION ACADEMY,134.0,68.0,50.7
56,336,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,79.0,61.0,77.2
57,366,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,80.0,59.0,73.8
58,481,BRONX ENVISION ACADEMY,88.0,57.0,64.8
