,dbn,school_name,demographic_category,demographic_variable,cohort_year,cohort,total_cohort,total_grads,total_grads_of_cohort,total_regents,total_regents_of_cohort,total_regents_of_grads,advanced_regents,advanced_regents_of_cohort,advanced_regents_of_grads,regents_w_o_advanced,regents_w_o_advanced_of_cohort,regents_w_o_advanced_of_grads,local,local_of_cohort,local_of_grads,still_enrolled,still_enrolled_of_cohort,dropped_out,dropped_out_of_cohort
0,01M292,ORCHARD COLLEGIATE ACADEMY,All Students,All Students,2013,4 year August,36,25,69.4,23,63.9,92.0,0,0.0,0.0,23,63.9,92.0,2,5.6,8.0,3,8.3,7,19.4
9,01M292,ORCHARD COLLEGIATE ACADEMY,All Students,All Students,2013,4 year June,36,24,66.7,23,63.9,95.8,0,0.0,0.0,23,63.9,95.8,1,2.8,4.2,4,11.1,7,19.4
46,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,All Students,All Students,2013,4 year August,78,70,89.7,64,82.1,91.4,20,25.6,28.6,44,56.4,62.9,6,7.7,8.6,1,1.3,7,9.0
56,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,All Students,All Students,2013,4 year June,78,70,89.7,64,82.1,91.4,20,25.6,28.6,44,56.4,62.9,6,7.7,8.6,1,1.3,7,9.0
99,01M450,EAST SIDE COMMUNITY SCHOOL,All Students,All Students,2013,4 year August,89,81,91.0,81,91.0,100.0,0,0.0,0.0,81,91.0,100.0,0,0.0,0.0,4,4.5,3,3.4
108,01M450,EAST SIDE COMMUNITY SCHOOL,All Students,All Students,2013,4 year June,89,80,89.9,80,89.9,100.0,0,0.0,0.0,80,89.9,100.0,0,0.0,0.0,5,5.6,3,3.4
151,01M458,FORSYTH SATELLITE ACADEMY,All Students,All Students,2013,4 year August,94,15,16.0,13,13.8,86.7,0,0.0,0.0,13,13.8,86.7,2,2.1,13.3,66,70.2,12,12.8
158,01M458,FORSYTH SATELLITE ACADEMY,All Students,All Students,2013,4 year June,94,14,14.9,12,12.8,85.7,0,0.0,0.0,12,12.8,85.7,2,2.1,14.3,67,71.3,12,12.8
186,01M509,MARTA VALLE HIGH SCHOOL,All Students,All Students,2013,4 year August,59,43,72.9,29,49.2,67.4,2,3.4,4.7,27,45.8,62.8,14,23.7,32.6,4,6.8,4,6.8
195,01M509,MARTA VALLE HIGH SCHOOL,All Students,All Students,2013,4 year June,59,39,66.1,28,47.5,71.8,2,3.4,5.1,26,44.1,66.7,11,18.6,28.2,8,13.6,4,6.8
238,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,All Students,All Students,2013,4 year August,232,85,36.6,84,36.2,98.8,44,19.0,51.8,40,17.2,47.1,1,0.4,1.2,76,32.8,64,27.6
247,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,All Students,All Students,2013,4 year June,232,83,35.8,82,35.3,98.8,43,18.5,51.8,39,16.8,47.0,1,0.4,1.2,78,33.6,64,27.6
