school_name,percent_graduated,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
ORCHARD COLLEGIATE ACADEMY,66.7,6.0,44.0,33.0,6.0,102.0,40.0
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,89.7,0.0,13.0,25.0,25.0,112.0,10.0
EAST SIDE COMMUNITY SCHOOL,89.9,0.0,64.0,7.0,57.0,268.0,47.0
MARTA VALLE HIGH SCHOOL,66.1,0.0,0.0,25.0,31.0,68.0,0.0
CASCADES HIGH SCHOOL,23.6,0.0,14.0,21.0,36.0,112.0,4.0
BARD HIGH SCHOOL EARLY COLLEGE,94.7,0.0,13.0,6.0,71.0,171.0,9.0
PACE HIGH SCHOOL,79.3,0.0,24.0,12.0,47.0,140.0,19.0
FOOD AND FINANCE HIGH SCHOOL,88.4,0.0,0.0,13.0,50.0,110.0,2.0
ESSEX STREET ACADEMY,82.5,0.0,19.0,4.0,26.0,124.0,28.0
GRAMERCY ARTS HIGH SCHOOL,77.3,6.0,24.0,21.0,30.0,144.0,15.0
LOWER MANHATTAN ARTS ACADEMY,76.6,8.0,92.0,4.0,56.0,183.0,63.0
NYC ISCHOOL,98.1,6.0,29.0,13.0,45.0,130.0,34.0
MANHATTAN BUSINESS ACADEMY,84.6,0.0,48.0,41.0,33.0,141.0,39.0
BUSINESS OF SPORTS SCHOOL,78.1,0.0,34.0,16.0,22.0,143.0,27.0
EMMA LAZARUS HIGH SCHOOL,45.4,0.0,44.0,31.0,44.0,102.0,26.0
BARUCH COLLEGE CAMPUS HIGH SCHOOL,100.0,0.0,19.0,12.0,35.0,132.0,12.0
SCHOOL OF THE FUTURE HIGH SCHOOL,98.0,2.0,19.0,13.0,33.0,196.0,14.0
ELEANOR ROOSEVELT HIGH SCHOOL,98.6,0.0,24.0,6.0,53.0,173.0,17.0
MILLENNIUM HIGH SCHOOL,99.3,0.0,21.0,8.0,58.0,180.0,23.0
MURRAY HILL ACADEMY,79.7,0.0,15.0,22.0,56.0,108.0,10.0
LANDMARK HIGH SCHOOL,60.0,0.0,70.0,4.0,44.0,173.0,40.0
QUEST TO LEARN,82.1,0.0,27.0,20.0,25.0,248.0,21.0
MANHATTAN VILLAGE ACADEMY,96.6,0.0,12.0,19.0,38.0,131.0,8.0
VANGUARD HIGH SCHOOL,72.4,0.0,24.0,6.0,36.0,114.0,26.0
MANHATTAN INTERNATIONAL HIGH SCHOOL,72.2,0.0,29.0,14.0,43.0,62.0,27.0
STUYVESANT HIGH SCHOOL,96.3,0.0,6.0,7.0,70.0,859.0,5.0
UNITY CENTER FOR URBAN TECHNOLOGIES,76.7,14.0,57.0,57.0,21.0,85.0,45.0
TALENT UNLIMITED HIGH SCHOOL,96.8,0.0,13.0,3.0,45.0,164.0,9.0
HARVEST COLLEGIATE HIGH SCHOOL,86.5,5.0,43.0,18.0,40.0,247.0,29.0
MANHATTAN BRIDGES HIGH SCHOOL,81.3,0.0,6.0,13.0,68.0,143.0,6.0
NEW DESIGN HIGH SCHOOL,91.5,0.0,27.0,14.0,27.0,153.0,27.0
INDEPENDENCE HIGH SCHOOL,17.8,6.0,28.0,28.0,17.0,79.0,20.0
ACADEMY FOR SOFTWARE ENGINEERING,83.3,6.0,29.0,18.0,26.0,147.0,31.0
SATELLITE ACADEMY HIGH SCHOOL,13.7,0.0,23.0,0.0,54.0,72.0,25.0
HARVEY MILK HIGH SCHOOL,13.8,0.0,10.0,30.0,10.0,67.0,7.0
ART AND DESIGN HIGH SCHOOL,81.0,2.0,14.0,13.0,63.0,438.0,14.0
LIFE SCIENCES SECONDARY SCHOOL,48.4,4.0,27.0,9.0,44.0,223.0,17.0
INNOVATION DIPLOMA PLUS,9.2,0.0,46.0,15.0,54.0,78.0,31.0
FRANK MCCOURT HIGH SCHOOL,95.4,0.0,13.0,13.0,42.0,164.0,7.0
BEACON HIGH SCHOOL,99.6,0.0,18.0,5.0,60.0,339.0,24.0
HIGH SCHOOL OF ARTS AND TECHNOLOGY,70.2,3.0,21.0,3.0,50.0,203.0,22.0
SPECIAL MUSIC SCHOOL,98.0,0.0,30.0,22.0,52.0,106.0,28.0
ESPERANZA PREPARATORY ACADEMY,72.5,7.0,17.0,22.0,17.0,177.0,19.0
PARK EAST HIGH SCHOOL,95.5,3.0,52.0,6.0,35.0,201.0,33.0
CENTRAL PARK EAST HIGH SCHOOL,97.3,0.0,16.0,10.0,61.0,129.0,17.0
YOUNG WOMEN'S LEADERSHIP SCHOOL,100.0,6.0,25.0,19.0,38.0,154.0,23.0
HARLEM RENAISSANCE HIGH SCHOOL,7.4,0.0,0.0,21.0,43.0,56.0,4.0
MOTT HALL HIGH SCHOOL,63.8,0.0,35.0,10.0,35.0,95.0,36.0
COLUMBIA SECONDARY SCHOOL,96.7,5.0,7.0,10.0,44.0,153.0,8.0
FREDERICK DOUGLASS ACADEMY,75.8,2.0,12.0,4.0,48.0,360.0,8.0
CITY COLLEGE ACADEMY OF THE ARTS,94.9,0.0,24.0,15.0,53.0,152.0,28.0
INTERNATIONAL COMMUNITY HIGH SCHOOL,61.1,0.0,0.0,8.0,50.0,107.0,1.0
JILL CHAIFETZ TRANSFER HIGH SCHOOL,12.2,0.0,54.0,8.0,38.0,74.0,39.0
UNIVERSITY HEIGHTS SECONDARY SCHOOL,98.3,13.0,22.0,9.0,39.0,146.0,18.0
MOTT HAVEN COMMUNITY HIGH SCHOOL,13.7,5.0,19.0,0.0,52.0,79.0,14.0
HEALTH OPPORTUNITIES HIGH SCHOOL,49.3,0.0,19.0,9.0,34.0,158.0,15.0
WOMEN'S ACADEMY OF EXCELLENCE,67.2,0.0,17.0,13.0,43.0,125.0,19.0
PELHAM LAB HIGH SCHOOL,67.3,3.0,70.0,40.0,33.0,183.0,48.0
BRONX RIVER HIGH SCHOOL,67.0,3.0,45.0,38.0,34.0,161.0,40.0
BRONX COMMUNITY HIGH SCHOOL,10.4,0.0,29.0,0.0,57.0,80.0,34.0
BRONX BRIDGES HIGH SCHOOL,46.6,4.0,21.0,39.0,25.0,161.0,20.0
BRONX ARENA HIGH SCHOOL,10.0,0.0,13.0,13.0,20.0,60.0,15.0
WESTCHESTER SQUARE ACADEMY,71.3,6.0,28.0,22.0,17.0,184.0,26.0
SCHOOL FOR TOURISM AND HOSPITALITY,53.4,4.0,42.0,13.0,46.0,105.0,37.0
BRONX COMPASS HIGH SCHOOL,46.7,6.0,70.0,27.0,30.0,205.0,46.0
BRONX COLLEGIATE ACADEMY,63.4,0.0,54.0,15.0,31.0,173.0,46.0
EAGLE ACADEMY FOR YOUNG MEN,63.0,3.0,18.0,8.0,32.0,180.0,17.0
MOTT HALL BRONX HIGH SCHOOL,78.6,12.0,40.0,40.0,24.0,109.0,36.0
DREAMYARD PREPARATORY SCHOOL,64.1,0.0,18.0,27.0,23.0,126.0,10.0
ACADEMY FOR LANGUAGE AND TECHNOLOGY,96.1,9.0,26.0,52.0,13.0,91.0,22.0
BRONX INTERNATIONAL HIGH SCHOOL,77.8,0.0,53.0,0.0,63.0,180.0,43.0
